track_id,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221
2015_OV10_0,1140.0,582.0,141.0,174.0,512.0,230.0,462.0,113.0,276.0,208.0,197.0,307.0,191.0,719.0,291.0,617.0,488.0,426.0,203.0,980.0,541.0,1857.0,189.0,458.0,62.0,5.0,222.0,290.0,86.0,189.0,94.0,368.0,23.0,130.0,27.0,132.0,44.0,75.0,198.0,174.0,59.0,87.0,109.0,130.0,110.0,8.0,3.0,2.0,3.0,6.0,13.0,9.0,2.0,2.0,3.0,2.0,95.0,73.0,80.0,11.0,32.0,6.0,146.0,58.0,26.0,87.0,12.0,4.0,66.0,118.0,172.0,8.0,12.0,1.0,1.0,4.0,1.0,6.0,9.0,19.0,3.0,3.0,1.0,4.0,9.0,3.0,1.0,4.0,3.0,3.0,16.0,14.0,13.0,1.0,6.0,4.0,15.0,4.0,7.0,2.0,4.0,3.0,9.0,8.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,5.0,46.0,3.0,7.0,55.0,12.0,7.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015_OV11_0,7.0,1.0,1.0,6.0,2.0,8.0,0.0,1.0,0.0,9.0,21.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,4.0,2.0,0.0,4.0,59.0,967.0,88.0,2.0,1.0,0.0,1.0,25.0,1095.0,168.0,106.0,46.0,29.0,11.0,131.0,2.0,0.0,0.0,2.0,4.0,12.0,50.0,585.0,2.0,0.0,195.0,214.0,173.0,0.0,225.0,556.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,343.0,14.0,2.0,11.0,876.0,8.0,0.0,0.0,0.0,0.0,8.0,718.0,3.0,24.0,0.0,634.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,289.0,1884.0,210.0,977.0,268.0,681.0,443.0,56.0,30.0,296.0,202.0,49.0,9.0,53.0,1.0,1.0,1.0,4.0,3.0,12.0,46.0,6.0,9.0,23.0,3.0,19.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015_OV12_0,3283.0,1138.0,27.0,268.0,301.0,80.0,2.0,11.0,22.0,476.0,167.0,312.0,468.0,120.0,0.0,45.0,151.0,23.0,1.0,0.0,11.0,260.0,70.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,11.0,10.0,28.0,0.0,14.0,41.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,24.0,34.0,521.0,72.0,20.0,11.0,63.0,0.0,0.0,0.0,0.0,9.0,19.0,16.0,0.0,32.0,566.0,25.0,9.0,0.0,68.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,8.0,0.0,1.0,19.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,13.0,93.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,199.0,2.0,191.0,0.0,12.0,7.0,30.0,1.0,6.0,0.0,19.0,0.0,81.0,0.0,0.0,1.0,0.0,0.0,22.0,49.0,14.0,24.0,0.0,1.0,0.0,59.0,0.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,16.0,387.0,0.0,49.0,0.0,63.0,90.0,317.0,43.0,117.0,183.0,18.0,19.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015_OV6_0,4155.0,1203.0,36.0,179.0,1636.0,70.0,77.0,178.0,328.0,567.0,77.0,55.0,322.0,265.0,500.0,119.0,105.0,55.0,66.0,500.0,125.0,435.0,25.0,51.0,17.0,0.0,18.0,8.0,1.0,119.0,139.0,411.0,178.0,318.0,31.0,41.0,48.0,112.0,174.0,9.0,0.0,2.0,18.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,40.0,4.0,0.0,0.0,1.0,169.0,7.0,16.0,24.0,18.0,0.0,0.0,48.0,49.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015_OV7_0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,169.0,823.0,276.0,413.0,584.0,219.0,62.0,155.0,424.0,147.0,33.0,0.0,0.0,0.0,16.0,9.0,0.0,7.0,91.0,33.0,8.0,1.0,4.0,1.0,3.0,5.0,5.0,1.0,3.0,661.0,34.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,4.0,0.0,0.0,1.0,3.0,59.0,28.0,29.0,33.0,2049.0,307.0,96.0,41.0,0.0,0.0,73.0,206.0,262.0,427.0,532.0,139.0,404.0,151.0,125.0,509.0,268.0,281.0,572.0,176.0,451.0,52.0,262.0,160.0,152.0,100.0,73.0,75.0,43.0,338.0,53.0,135.0,50.0,11.0,26.0,24.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015_OV8_0,2161.0,361.0,31.0,161.0,509.0,319.0,521.0,44.0,112.0,468.0,161.0,257.0,333.0,117.0,123.0,238.0,348.0,138.0,81.0,884.0,261.0,1327.0,155.0,194.0,8.0,4.0,75.0,140.0,14.0,73.0,20.0,480.0,108.0,314.0,33.0,119.0,25.0,202.0,268.0,60.0,13.0,23.0,87.0,123.0,20.0,15.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,415.0,112.0,45.0,12.0,16.0,5.0,94.0,29.0,38.0,50.0,31.0,5.0,52.0,55.0,407.0,20.0,55.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,44.0,1.0,0.0,12.0,49.0,1.0,0.0,2.0,0.0,6.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015_OV9_0,3.0,0.0,0.0,23.0,5.0,3.0,0.0,0.0,0.0,0.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,36.0,1014.0,49.0,4.0,0.0,0.0,6.0,11.0,947.0,229.0,117.0,18.0,7.0,8.0,26.0,0.0,0.0,0.0,0.0,5.0,21.0,38.0,369.0,0.0,0.0,176.0,136.0,172.0,0.0,267.0,461.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,60.0,397.0,3.0,0.0,8.0,1032.0,2.0,0.0,0.0,0.0,0.0,3.0,663.0,3.0,41.0,0.0,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,1979.0,259.0,984.0,246.0,535.0,359.0,38.0,15.0,267.0,88.0,30.0,13.0,33.0,0.0,0.0,0.0,0.0,5.0,20.0,51.0,13.0,7.0,50.0,9.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC2015_1_0,226.0,159.0,116.0,141.0,79.0,237.0,171.0,2.0,41.0,426.0,477.0,83.0,501.0,19.0,0.0,9.0,64.0,89.0,87.0,65.0,79.0,27.0,44.0,5.0,0.0,0.0,145.0,16.0,345.0,17.0,0.0,489.0,96.0,149.0,4.0,6.0,5.0,1.0,396.0,171.0,66.0,138.0,339.0,0.0,338.0,155.0,69.0,10.0,1.0,0.0,0.0,2.0,8.0,27.0,38.0,15.0,132.0,132.0,76.0,264.0,32.0,1.0,0.0,3.0,7.0,171.0,178.0,98.0,26.0,10.0,76.0,106.0,66.0,0.0,419.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,10.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,10.0,0.0,18.0,32.0,13.0,57.0,1.0,1.0,0.0,4.0,2.0,24.0,0.0,0.0,6.0,17.0,0.0,137.0,0.0,0.0,1.0,0.0,0.0,109.0,69.0,7.0,87.0,69.0,18.0,62.0,17.0,24.0,91.0,56.0,0.0,0.0,10.0,0.0,0.0,6.0,2.0,48.0,14.0,6.0,0.0,0.0,144.0,1.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC2015_2_0,243.0,111.0,165.0,72.0,45.0,84.0,33.0,3.0,8.0,431.0,490.0,82.0,357.0,6.0,1.0,19.0,88.0,80.0,86.0,94.0,197.0,101.0,76.0,20.0,0.0,0.0,40.0,5.0,96.0,0.0,0.0,1042.0,316.0,348.0,28.0,41.0,27.0,2.0,1079.0,107.0,23.0,107.0,76.0,1.0,155.0,206.0,217.0,32.0,49.0,53.0,75.0,14.0,18.0,102.0,37.0,65.0,360.0,223.0,40.0,40.0,11.0,0.0,1.0,10.0,37.0,233.0,219.0,84.0,3.0,1.0,117.0,71.0,61.0,1.0,646.0,64.0,20.0,43.0,12.0,19.0,7.0,80.0,91.0,61.0,10.0,6.0,3.0,14.0,90.0,137.0,62.0,4.0,5.0,0.0,31.0,41.0,43.0,118.0,33.0,7.0,2.0,16.0,130.0,21.0,20.0,40.0,17.0,149.0,66.0,77.0,52.0,2.0,3.0,0.0,36.0,40.0,62.0,4.0,3.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,69.0,48.0,51.0,300.0,178.0,0.0,20.0,48.0,8.0,119.0,11.0,0.0,0.0,90.0,1.0,3.0,12.0,3.0,1.0,1.0,1.0,8.0,3.0,143.0,0.0,113.0,5.0,3.0,1.0,7.0,4.0,1.0,21.0,11.0,59.0,35.0,6.0,3.0,13.0,18.0,0.0,7.0,11.0,0.0,40.0,9.0,0.0,0.0,1.0,1.0,49.0,24.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,69.0,0.0,0.0,11.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DD001_0,316.0,374.0,196.0,192.0,138.0,55.0,68.0,12.0,80.0,37.0,9.0,15.0,80.0,174.0,25.0,82.0,111.0,137.0,87.0,61.0,68.0,105.0,122.0,25.0,14.0,4.0,45.0,49.0,27.0,59.0,2.0,99.0,37.0,54.0,23.0,39.0,18.0,19.0,150.0,205.0,80.0,120.0,425.0,58.0,12.0,16.0,6.0,38.0,3.0,10.0,11.0,17.0,31.0,30.0,38.0,17.0,18.0,44.0,116.0,388.0,20.0,9.0,11.0,16.0,15.0,185.0,67.0,188.0,15.0,10.0,25.0,50.0,428.0,13.0,193.0,56.0,6.0,209.0,124.0,84.0,179.0,128.0,206.0,209.0,189.0,373.0,236.0,395.0,584.0,219.0,448.0,136.0,68.0,71.0,9.0,33.0,15.0,3.0,233.0,88.0,130.0,179.0,248.0,25.0,26.0,19.0,1.0,110.0,19.0,66.0,12.0,38.0,32.0,13.0,167.0,62.0,15.0,1.0,1.0,4.0,4.0,0.0,10.0,4.0,0.0,0.0,2.0,0.0,21.0,20.0,144.0,9.0,112.0,0.0,13.0,276.0,17.0,12.0,6.0,0.0,0.0,108.0,36.0,96.0,81.0,8.0,2.0,0.0,0.0,351.0,70.0,69.0,0.0,120.0,5.0,12.0,80.0,318.0,87.0,167.0,251.0,125.0,278.0,127.0,4.0,8.0,269.0,105.0,47.0,267.0,102.0,97.0,450.0,201.0,43.0,100.0,72.0,91.0,456.0,366.0,360.0,100.0,194.0,130.0,43.0,69.0,91.0,21.0,41.0,289.0,20.0,11.0,7.0,8.0,13.0,7.0,90.0,56.0,16.0,8.0,7.0,45.0,26.0,5.0,1.0,0.0,0.0,47.0,0.0,0.0,21.0,27.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
DD2015_1_0,87.0,40.0,86.0,88.0,41.0,8.0,2.0,6.0,18.0,4.0,13.0,65.0,33.0,26.0,85.0,49.0,36.0,75.0,49.0,38.0,76.0,169.0,37.0,22.0,44.0,11.0,5.0,40.0,4.0,108.0,34.0,188.0,166.0,141.0,98.0,72.0,252.0,54.0,159.0,45.0,16.0,56.0,175.0,0.0,12.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,2.0,28.0,88.0,53.0,202.0,21.0,72.0,22.0,18.0,23.0,44.0,32.0,198.0,13.0,40.0,68.0,8.0,61.0,3.0,71.0,32.0,11.0,47.0,46.0,6.0,107.0,212.0,135.0,86.0,323.0,287.0,315.0,321.0,224.0,220.0,177.0,224.0,77.0,93.0,6.0,5.0,1.0,2.0,129.0,149.0,67.0,50.0,46.0,6.0,7.0,16.0,1.0,16.0,2.0,25.0,3.0,8.0,10.0,9.0,30.0,9.0,9.0,0.0,1.0,22.0,5.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,50.0,21.0,26.0,9.0,45.0,49.0,2.0,1.0,19.0,0.0,0.0,17.0,49.0,81.0,48.0,4.0,0.0,0.0,2.0,32.0,21.0,24.0,0.0,39.0,2.0,4.0,13.0,27.0,17.0,191.0,215.0,161.0,362.0,185.0,22.0,55.0,133.0,71.0,23.0,138.0,47.0,14.0,147.0,185.0,4.0,117.0,13.0,40.0,526.0,300.0,335.0,24.0,246.0,130.0,102.0,32.0,95.0,14.0,20.0,254.0,23.0,21.0,52.0,1.0,13.0,7.0,64.0,19.0,6.0,5.0,8.0,5.0,11.0,170.0,2.0,0.0,0.0,5.0,0.0,0.0,313.0,1.0,28.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
DD2015_2_0,102.0,69.0,83.0,94.0,39.0,12.0,29.0,4.0,8.0,21.0,22.0,83.0,38.0,17.0,20.0,20.0,36.0,103.0,98.0,79.0,66.0,45.0,57.0,9.0,8.0,9.0,10.0,31.0,9.0,25.0,10.0,197.0,176.0,96.0,49.0,61.0,41.0,54.0,166.0,87.0,68.0,85.0,138.0,4.0,9.0,7.0,0.0,7.0,4.0,2.0,1.0,0.0,7.0,16.0,2.0,6.0,43.0,71.0,59.0,196.0,16.0,7.0,30.0,23.0,29.0,69.0,33.0,132.0,14.0,35.0,70.0,24.0,55.0,0.0,104.0,24.0,4.0,77.0,21.0,9.0,63.0,113.0,106.0,126.0,272.0,279.0,387.0,360.0,216.0,216.0,305.0,182.0,100.0,46.0,7.0,2.0,6.0,12.0,78.0,65.0,64.0,109.0,109.0,18.0,5.0,20.0,1.0,25.0,9.0,26.0,20.0,29.0,28.0,5.0,110.0,29.0,17.0,2.0,2.0,29.0,1.0,5.0,20.0,0.0,2.0,0.0,0.0,1.0,6.0,6.0,62.0,7.0,53.0,3.0,21.0,74.0,6.0,8.0,0.0,3.0,3.0,30.0,13.0,26.0,110.0,0.0,0.0,9.0,0.0,102.0,50.0,40.0,2.0,40.0,3.0,18.0,38.0,75.0,41.0,148.0,239.0,169.0,251.0,138.0,15.0,71.0,128.0,74.0,56.0,185.0,94.0,23.0,129.0,209.0,25.0,141.0,36.0,74.0,536.0,294.0,429.0,36.0,208.0,110.0,64.0,60.0,70.0,16.0,35.0,277.0,7.0,16.0,18.0,3.0,1.0,10.0,95.0,14.0,8.0,8.0,9.0,12.0,1.0,75.0,6.0,0.0,0.0,26.0,0.0,5.0,131.0,8.0,2.0,3.0,1.0,3.0,1.0,4.0,4.0,0.0,0.0
